Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
475455,-5.999021,13.213638,0.581477,-80.919998,-157.289993,-18.480000
475531,-4.407737,11.232310,4.905462,-47.670002,-82.949997,-46.270000
475605,-5.51429,8.92815,0.547976,-9.30000,-2.730000,-81.760002
475680,-3.917191,4.424487,0.239291,-42.630001,8.610000,-55.510002
475756,-3.228033,4.864782,0.665228,-49.630001,-11.550000,-21.770000
475830,-5.32286,5.503689,0.291935,-57.820000,-10.920000,-8.680000
475905,-6.477602,5.463009,0.614977,-14.420000,-6.20000,-4.340000
475979,-6.379493,4.582419,0.325435,-7.210000,-12.110000,8.820000
476054,-5.577869,4.359879,0.701122,8.260000,-12.950000,34.860001
476129,-4.206732,5.295506,0.62216,31.570000,4.270000,47.880001
476204,-1.732466,4.288091,0.303899,31.710001,9.380000,51.520000
476279,0.325435,2.821239,0.110074,1.120000,-4.410000,79.940002
476353,5.419937,2.234976,1.914326,-38.570000,-28.350000,139.649994
476428,11.722857,4.228269,3.419466,-33.880001,-56.700001,245.350006
476503,23.926687,7.432373,6.980113,-74.830002,-106.610001,400.399994
476578,33.842899,7.635770,7.30364,-128.589996,-107.870003,435.959991
476652,31.983610,11.141380,11.196417,-65.29999,-53.830002,361.549988
476727,20.351683,5.178253,8.781973,-98.419998,-40.250000,245.699997
476802,9.461558,10.19106,2.641771,-145.880005,-24.430000,179.619995
476877,5.183039,7.815238,2.969599,-100.940002,-11.970000,65.800003
476952,5.123216,2.986349,0.866233,-22.540001,13.930000,-46.130001
477026,6.949005,0.490546,2.596305,54.670002,24.710001,-72.239998
477101,8.61707,2.60294,1.849718,33.950001,23.799999,-190.399994
477175,11.887967,11.76772,3.936334,105.629997,73.220001,-249.199997
477251,14.919782,13.36563,4.113409,90.370003,70.419998,-283.570007
477326,17.260046,18.576145,3.268713,95.410004,38.849998,-323.959991
477400,16.831715,18.66456,5.262005,25.480000,14.700000,-308.489990
477475,11.684570,14.639812,7.13614,3.640000,63.70000,-272.440002
477550,8.521146,13.180138,3.211283,44.660000,95.970001,-227.500000
477625,3.744901,6.451280,2.345050,27.650000,73.500000,-186.830002
477700,0.404401,2.419230,0.536011,32.900002,58.240002,-141.960007
477774,-2.926527,3.558254,-1.57665,38.150002,43.889999,-96.320000
477849,-3.907619,0.504904,-2.77044,-8.190000,7.770000,-87.989998
477924,-4.532168,0.921270,-2.565197,-7.700000,12.810000,-58.939999
477999,-3.539111,-1.983721,-3.161031,8.680000,13.90000,-8.540000
478073,-3.163424,0.406794,-1.746823,-11.410000,6.230000,43.330002
478148,-2.242155,0.837518,-1.227562,-17.780001,-4.60000,76.440002
478223,1.830575,0.220148,1.414209,-40.599998,-20.230000,121.800003
